sub_technique_name,sub_technique_number
Scanning IP Blocks,T1595.001
Vulnerability Scanning,T1595.002
Wordlist Scanning,T1595.003
Hardware,T1592.001
Software,T1592.002
Firmware,T1592.003
Client Configurations,T1592.004
Credentials,T1589.001
Email Addresses,T1589.002
Employee Names,T1589.003
Domain Properties,T1590.001
DNS,T1590.002
Network Trust Dependencies,T1590.003
Network Topology,T1590.004
IP Addresses,T1590.005
Network Security Appliances,T1590.006
Determine Physical Locations,T1591.001
Business Relationships,T1591.002
Identify Business Tempo,T1591.003
Identify Roles,T1591.004
Spearphishing Service,T1598.001
Spearphishing Attachment,T1598.002
Spearphishing Link,T1598.003
Spearphishing Voice,T1598.004
Threat Intel Vendors,T1597.001
Purchase Technical Data,T1597.002
DNS/Passive DNS,T1596.001
WHOIS,T1596.002
Digital Certificates,T1596.003
CDNs,T1596.004
Scan Databases,T1596.005
Social Media,T1593.001
Search Engines,T1593.002
Code Repositories,T1593.003
Domains,T1583.001
DNS Server,T1583.002
Virtual Private Server,T1583.003
Server,T1583.004
Botnet,T1583.005
Web Services,T1583.006
Serverless,T1583.007
Malvertising,T1583.008
Social Media Accounts,T1586.001
Email Accounts,T1586.002
Cloud Accounts,T1586.003
Domains,T1584.001
DNS Server,T1584.002
Virtual Private Server,T1584.003
Server,T1584.004
Botnet,T1584.005
Web Services,T1584.006
Serverless,T1584.007
Network Devices,T1584.008
Malware,T1587.001
Code Signing Certificates,T1587.002
Digital Certificates,T1587.003
Exploits,T1587.004
Social Media Accounts,T1585.001
Email Accounts,T1585.002
Cloud Accounts,T1585.003
Malware,T1588.001
Tool,T1588.002
Code Signing Certificates,T1588.003
Digital Certificates,T1588.004
Exploits,T1588.005
Vulnerabilities,T1588.006
Artificial Intelligence,T1588.007
Upload Malware,T1608.001
Upload Tool,T1608.002
Install Digital Certificate,T1608.003
Drive-by Target,T1608.004
Link Target,T1608.005
SEO Poisoning,T1608.006
Spearphishing Attachment,T1566.001
Spearphishing Link,T1566.002
Spearphishing via Service,T1566.003
Spearphishing Voice,T1566.004
Compromise Software Dependencies and Development Tools,T1195.001
Compromise Software Supply Chain,T1195.002
Compromise Hardware Supply Chain,T1195.003
Default Accounts,T1078.001
Domain Accounts,T1078.002
Local Accounts,T1078.003
Cloud Accounts,T1078.004
PowerShell,T1059.001
AppleScript,T1059.002
Windows Command Shell,T1059.003
Unix Shell,T1059.004
Visual Basic,T1059.005
Python,T1059.006
JavaScript,T1059.007
Network Device CLI,T1059.008
Cloud API,T1059.009
AutoHotKey & AutoIT,T1059.010
Component Object Model,T1559.001
Dynamic Data Exchange,T1559.002
XPC Services,T1559.003
At,T1053.002
Cron,T1053.003
Scheduled Task,T1053.005
Systemd Timers,T1053.006
Container Orchestration Job,T1053.007
Launchctl,T1569.001
Service Execution,T1569.002
Malicious Link,T1204.001
Malicious File,T1204.002
Malicious Image,T1204.003
Additional Cloud Credentials,T1098.001
Additional Email Delegate Permissions,T1098.002
Additional Cloud Roles,T1098.003
SSH Authorized Keys,T1098.004
Device Registration,T1098.005
Additional Container Cluster Roles,T1098.006
Registry Run Keys / Startup Folder,T1547.001
Authentication Package,T1547.002
Time Providers,T1547.003
Winlogon Helper DLL,T1547.004
Security Support Provider,T1547.005
Kernel Modules and Extensions,T1547.006
Re-opened Applications,T1547.007
LSASS Driver,T1547.008
Shortcut Modification,T1547.009
Port Monitors,T1547.010
Print Processors,T1547.012
XDG Autostart Entries,T1547.013
Active Setup,T1547.014
Login Items,T1547.015
Logon Script (Windows),T1037.001
Login Hook,T1037.002
Network Logon Script,T1037.003
RC Scripts,T1037.004
Startup Items,T1037.005
Local Account,T1136.001
Domain Account,T1136.002
Cloud Account,T1136.003
Launch Agent,T1543.001
Systemd Service,T1543.002
Windows Service,T1543.003
Launch Daemon,T1543.004
Container Service,T1543.005
Change Default File Association,T1546.001
Screensaver,T1546.002
Windows Management Instrumentation Event Subscription,T1546.003
Unix Shell Configuration Modification,T1546.004
Trap,T1546.005
LC_LOAD_DYLIB Addition,T1546.006
Netsh Helper DLL,T1546.007
Accessibility Features,T1546.008
AppCert DLLs,T1546.009
AppInit DLLs,T1546.010
Application Shimming,T1546.011
Image File Execution Options Injection,T1546.012
PowerShell Profile,T1546.013
Emond,T1546.014
Component Object Model Hijacking,T1546.015
Installer Packages,T1546.016
DLL Search Order Hijacking,T1574.001
DLL Side-Loading,T1574.002
Dylib Hijacking,T1574.004
Executable Installer File Permissions Weakness,T1574.005
Dynamic Linker Hijacking,T1574.006
Path Interception by PATH Environment Variable,T1574.007
Path Interception by Search Order Hijacking,T1574.008
Path Interception by Unquoted Path,T1574.009
Services File Permissions Weakness,T1574.010
Services Registry Permissions Weakness,T1574.011
COR_PROFILER,T1574.012
KernelCallbackTable,T1574.013
AppDomainManager,T1574.014
Domain Controller Authentication,T1556.001
Password Filter DLL,T1556.002
Pluggable Authentication Modules,T1556.003
Network Device Authentication,T1556.004
Reversible Encryption,T1556.005
Multi-Factor Authentication,T1556.006
Hybrid Identity,T1556.007
Network Provider DLL,T1556.008
Conditional Access Policies,T1556.009
Office Template Macros,T1137.001
Office Test,T1137.002
Outlook Forms,T1137.003
Outlook Home Page,T1137.004
Outlook Rules,T1137.005
Add-ins,T1137.006
System Firmware,T1542.001
Component Firmware,T1542.002
Bootkit,T1542.003
ROMMONkit,T1542.004
TFTP Boot,T1542.005
At,T1053.002
Cron,T1053.003
Scheduled Task,T1053.005
Systemd Timers,T1053.006
Container Orchestration Job,T1053.007
SQL Stored Procedures,T1505.001
Transport Agent,T1505.002
Web Shell,T1505.003
IIS Components,T1505.004
Terminal Services DLL,T1505.005
Port Knocking,T1205.001
Socket Filters,T1205.002
Default Accounts,T1078.001
Domain Accounts,T1078.002
Local Accounts,T1078.003
Cloud Accounts,T1078.004
Setuid and Setgid,T1548.001
Bypass User Account Control,T1548.002
Sudo and Sudo Caching,T1548.003
Elevated Execution with Prompt,T1548.004
Temporary Elevated Cloud Access,T1548.005
TCC Manipulation,T1548.006
Token Impersonation/Theft,T1134.001
Create Process with Token,T1134.002
Make and Impersonate Token,T1134.003
Parent PID Spoofing,T1134.004
SID-History Injection,T1134.005
Additional Cloud Credentials,T1098.001
Additional Email Delegate Permissions,T1098.002
Additional Cloud Roles,T1098.003
SSH Authorized Keys,T1098.004
Device Registration,T1098.005
Additional Container Cluster Roles,T1098.006
Registry Run Keys / Startup Folder,T1547.001
Authentication Package,T1547.002
Time Providers,T1547.003
Winlogon Helper DLL,T1547.004
Security Support Provider,T1547.005
Kernel Modules and Extensions,T1547.006
Re-opened Applications,T1547.007
LSASS Driver,T1547.008
Shortcut Modification,T1547.009
Port Monitors,T1547.010
Print Processors,T1547.012
XDG Autostart Entries,T1547.013
Active Setup,T1547.014
Login Items,T1547.015
Logon Script (Windows),T1037.001
Login Hook,T1037.002
Network Logon Script,T1037.003
RC Scripts,T1037.004
Startup Items,T1037.005
Launch Agent,T1543.001
Systemd Service,T1543.002
Windows Service,T1543.003
Launch Daemon,T1543.004
Container Service,T1543.005
Group Policy Modification,T1484.001
Trust Modification,T1484.002
Change Default File Association,T1546.001
Screensaver,T1546.002
Windows Management Instrumentation Event Subscription,T1546.003
Unix Shell Configuration Modification,T1546.004
Trap,T1546.005
LC_LOAD_DYLIB Addition,T1546.006
Netsh Helper DLL,T1546.007
Accessibility Features,T1546.008
AppCert DLLs,T1546.009
AppInit DLLs,T1546.010
Application Shimming,T1546.011
Image File Execution Options Injection,T1546.012
PowerShell Profile,T1546.013
Emond,T1546.014
Component Object Model Hijacking,T1546.015
Installer Packages,T1546.016
DLL Search Order Hijacking,T1574.001
DLL Side-Loading,T1574.002
Dylib Hijacking,T1574.004
Executable Installer File Permissions Weakness,T1574.005
Dynamic Linker Hijacking,T1574.006
Path Interception by PATH Environment Variable,T1574.007
Path Interception by Search Order Hijacking,T1574.008
Path Interception by Unquoted Path,T1574.009
Services File Permissions Weakness,T1574.010
Services Registry Permissions Weakness,T1574.011
COR_PROFILER,T1574.012
KernelCallbackTable,T1574.013
AppDomainManager,T1574.014
Dynamic-link Library Injection,T1055.001
Portable Executable Injection,T1055.002
Thread Execution Hijacking,T1055.003
Asynchronous Procedure Call,T1055.004
Thread Local Storage,T1055.005
Ptrace System Calls,T1055.008
Proc Memory,T1055.009
Extra Window Memory Injection,T1055.011
Process Hollowing,T1055.012
Process Doppelgänging,T1055.013
VDSO Hijacking,T1055.014
ListPlanting,T1055.015
At,T1053.002
Cron,T1053.003
Scheduled Task,T1053.005
Systemd Timers,T1053.006
Container Orchestration Job,T1053.007
Default Accounts,T1078.001
Domain Accounts,T1078.002
Local Accounts,T1078.003
Cloud Accounts,T1078.004
Setuid and Setgid,T1548.001
Bypass User Account Control,T1548.002
Sudo and Sudo Caching,T1548.003
Elevated Execution with Prompt,T1548.004
Temporary Elevated Cloud Access,T1548.005
TCC Manipulation,T1548.006
Token Impersonation/Theft,T1134.001
Create Process with Token,T1134.002
Make and Impersonate Token,T1134.003
Parent PID Spoofing,T1134.004
SID-History Injection,T1134.005
Group Policy Modification,T1484.001
Trust Modification,T1484.002
Environmental Keying,T1480.001
Windows File and Directory Permissions Modification,T1222.001
Linux and Mac File and Directory Permissions Modification,T1222.002
Hidden Files and Directories,T1564.001
Hidden Users,T1564.002
Hidden Window,T1564.003
NTFS File Attributes,T1564.004
Hidden File System,T1564.005
Run Virtual Instance,T1564.006
VBA Stomping,T1564.007
Email Hiding Rules,T1564.008
Resource Forking,T1564.009
Process Argument Spoofing,T1564.010
Ignore Process Interrupts,T1564.011
File/Path Exclusions,T1564.012
DLL Search Order Hijacking,T1574.001
DLL Side-Loading,T1574.002
Dylib Hijacking,T1574.004
Executable Installer File Permissions Weakness,T1574.005
Dynamic Linker Hijacking,T1574.006
Path Interception by PATH Environment Variable,T1574.007
Path Interception by Search Order Hijacking,T1574.008
Path Interception by Unquoted Path,T1574.009
Services File Permissions Weakness,T1574.010
Services Registry Permissions Weakness,T1574.011
COR_PROFILER,T1574.012
KernelCallbackTable,T1574.013
AppDomainManager,T1574.014
Disable or Modify Tools,T1562.001
Disable Windows Event Logging,T1562.002
Impair Command History Logging,T1562.003
Disable or Modify System Firewall,T1562.004
Indicator Blocking,T1562.006
Disable or Modify Cloud Firewall,T1562.007
Disable or Modify Cloud Logs,T1562.008
Safe Mode Boot,T1562.009
Downgrade Attack,T1562.010
Spoof Security Alerting,T1562.011
Disable or Modify Linux Audit System,T1562.012
Clear Windows Event Logs,T1070.001
Clear Linux or Mac System Logs,T1070.002
Clear Command History,T1070.003
File Deletion,T1070.004
Network Share Connection Removal,T1070.005
Timestomp,T1070.006
Clear Network Connection History and Configurations,T1070.007
Clear Mailbox Data,T1070.008
Clear Persistence,T1070.009
Invalid Code Signature,T1036.001
Right-to-Left Override,T1036.002
Rename System Utilities,T1036.003
Masquerade Task or Service,T1036.004
Match Legitimate Name or Location,T1036.005
Space after Filename,T1036.006
Double File Extension,T1036.007
Masquerade File Type,T1036.008
Break Process Trees,T1036.009
Domain Controller Authentication,T1556.001
Password Filter DLL,T1556.002
Pluggable Authentication Modules,T1556.003
Network Device Authentication,T1556.004
Reversible Encryption,T1556.005
Multi-Factor Authentication,T1556.006
Hybrid Identity,T1556.007
Network Provider DLL,T1556.008
Conditional Access Policies,T1556.009
Create Snapshot,T1578.001
Create Cloud Instance,T1578.002
Delete Cloud Instance,T1578.003
Revert Cloud Instance,T1578.004
Modify Cloud Compute Configurations,T1578.005
Patch System Image,T1601.001
Downgrade System Image,T1601.002
Network Address Translation Traversal,T1599.001
Binary Padding,T1027.001
Software Packing,T1027.002
Steganography,T1027.003
Compile After Delivery,T1027.004
Indicator Removal from Tools,T1027.005
HTML Smuggling,T1027.006
Dynamic API Resolution,T1027.007
Stripped Payloads,T1027.008
Embedded Payloads,T1027.009
Command Obfuscation,T1027.010
Fileless Storage,T1027.011
LNK Icon Smuggling,T1027.012
Encrypted/Encoded File,T1027.013
System Firmware,T1542.001
Component Firmware,T1542.002
Bootkit,T1542.003
ROMMONkit,T1542.004
TFTP Boot,T1542.005
Dynamic-link Library Injection,T1055.001
Portable Executable Injection,T1055.002
Thread Execution Hijacking,T1055.003
Asynchronous Procedure Call,T1055.004
Thread Local Storage,T1055.005
Ptrace System Calls,T1055.008
Proc Memory,T1055.009
Extra Window Memory Injection,T1055.011
Process Hollowing,T1055.012
Process Doppelgänging,T1055.013
VDSO Hijacking,T1055.014
ListPlanting,T1055.015
Gatekeeper Bypass,T1553.001
Code Signing,T1553.002
SIP and Trust Provider Hijacking,T1553.003
Install Root Certificate,T1553.004
Mark-of-the-Web Bypass,T1553.005
Code Signing Policy Modification,T1553.006
Compiled HTML File,T1218.001
Control Panel,T1218.002
CMSTP,T1218.003
InstallUtil,T1218.004
Mshta,T1218.005
Msiexec,T1218.007
Odbcconf,T1218.008
Regsvcs/Regasm,T1218.009
Regsvr32,T1218.010
Rundll32,T1218.011
Verclsid,T1218.012
Mavinject,T1218.013
MMC,T1218.014
Electron Applications,T1218.015
PubPrn,T1216.001
SyncAppvPublishingServer,T1216.002
Port Knocking,T1205.001
Socket Filters,T1205.002
MSBuild,T1127.001
Application Access Token,T1550.001
Pass the Hash,T1550.002
Pass the Ticket,T1550.003
Web Session Cookie,T1550.004
Default Accounts,T1078.001
Domain Accounts,T1078.002
Local Accounts,T1078.003
Cloud Accounts,T1078.004
System Checks,T1497.001
User Activity Based Checks,T1497.002
Time Based Evasion,T1497.003
Reduce Key Space,T1600.001
Disable Crypto Hardware,T1600.002
LLMNR/NBT-NS Poisoning and SMB Relay,T1557.001
ARP Cache Poisoning,T1557.002
DHCP Spoofing,T1557.003
Password Guessing,T1110.001
Password Cracking,T1110.002
Password Spraying,T1110.003
Credential Stuffing,T1110.004
Keychain,T1555.001
Securityd Memory,T1555.002
Credentials from Web Browsers,T1555.003
Windows Credential Manager,T1555.004
Password Managers,T1555.005
Cloud Secrets Management Stores,T1555.006
Web Cookies,T1606.001
SAML Tokens,T1606.002
Keylogging,T1056.001
GUI Input Capture,T1056.002
Web Portal Capture,T1056.003
Credential API Hooking,T1056.004
Domain Controller Authentication,T1556.001
Password Filter DLL,T1556.002
Pluggable Authentication Modules,T1556.003
Network Device Authentication,T1556.004
Reversible Encryption,T1556.005
Multi-Factor Authentication,T1556.006
Hybrid Identity,T1556.007
Network Provider DLL,T1556.008
Conditional Access Policies,T1556.009
LSASS Memory,T1003.001
Security Account Manager,T1003.002
NTDS,T1003.003
LSA Secrets,T1003.004
Cached Domain Credentials,T1003.005
DCSync,T1003.006
Proc Filesystem,T1003.007
/etc/passwd and /etc/shadow,T1003.008
Golden Ticket,T1558.001
Silver Ticket,T1558.002
Kerberoasting,T1558.003
AS-REP Roasting,T1558.004
Credentials In Files,T1552.001
Credentials in Registry,T1552.002
Bash History,T1552.003
Private Keys,T1552.004
Cloud Instance Metadata API,T1552.005
Group Policy Preferences,T1552.006
Container API,T1552.007
Chat Messages,T1552.008
Local Account,T1087.001
Domain Account,T1087.002
Email Account,T1087.003
Cloud Account,T1087.004
Local Groups,T1069.001
Domain Groups,T1069.002
Cloud Groups,T1069.003
Security Software Discovery,T1518.001
System Language Discovery,T1614.001
Internet Connection Discovery,T1016.001
Wi-Fi Discovery,T1016.002
System Checks,T1497.001
User Activity Based Checks,T1497.002
Time Based Evasion,T1497.003
SSH Hijacking,T1563.001
RDP Hijacking,T1563.002
Remote Desktop Protocol,T1021.001
SMB/Windows Admin Shares,T1021.002
Distributed Component Object Model,T1021.003
SSH,T1021.004
VNC,T1021.005
Windows Remote Management,T1021.006
Cloud Services,T1021.007
Direct Cloud VM Connections,T1021.008
Application Access Token,T1550.001
Pass the Hash,T1550.002
Pass the Ticket,T1550.003
Web Session Cookie,T1550.004
LLMNR/NBT-NS Poisoning and SMB Relay,T1557.001
ARP Cache Poisoning,T1557.002
DHCP Spoofing,T1557.003
Archive via Utility,T1560.001
Archive via Library,T1560.002
Archive via Custom Method,T1560.003
SNMP (MIB Dump),T1602.001
Network Device Configuration Dump,T1602.002
Confluence,T1213.001
Sharepoint,T1213.002
Code Repositories,T1213.003
Local Data Staging,T1074.001
Remote Data Staging,T1074.002
Local Email Collection,T1114.001
Remote Email Collection,T1114.002
Email Forwarding Rule,T1114.003
Keylogging,T1056.001
GUI Input Capture,T1056.002
Web Portal Capture,T1056.003
Credential API Hooking,T1056.004
Web Protocols,T1071.001
File Transfer Protocols,T1071.002
Mail Protocols,T1071.003
DNS,T1071.004
Standard Encoding,T1132.001
Non-Standard Encoding,T1132.002
Junk Data,T1001.001
Steganography,T1001.002
Protocol Impersonation,T1001.003
Fast Flux DNS,T1568.001
Domain Generation Algorithms,T1568.002
DNS Calculation,T1568.003
Symmetric Cryptography,T1573.001
Asymmetric Cryptography,T1573.002
Internal Proxy,T1090.001
External Proxy,T1090.002
Multi-hop Proxy,T1090.003
Domain Fronting,T1090.004
Port Knocking,T1205.001
Socket Filters,T1205.002
Dead Drop Resolver,T1102.001
Bidirectional Communication,T1102.002
One-Way Communication,T1102.003
Traffic Duplication,T1020.001
Exfiltration Over Symmetric Encrypted Non-C2 Protocol,T1048.001
Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,T1048.002
Exfiltration Over Unencrypted Non-C2 Protocol,T1048.003
Exfiltration Over Bluetooth,T1011.001
Exfiltration over USB,T1052.001
Exfiltration to Code Repository,T1567.001
Exfiltration to Cloud Storage,T1567.002
Exfiltration to Text Storage Sites,T1567.003
Exfiltration Over Webhook,T1567.004
Stored Data Manipulation,T1565.001
Transmitted Data Manipulation,T1565.002
Runtime Data Manipulation,T1565.003
Internal Defacement,T1491.001
External Defacement,T1491.002
Disk Content Wipe,T1561.001
Disk Structure Wipe,T1561.002
OS Exhaustion Flood,T1499.001
Service Exhaustion Flood,T1499.002
Application Exhaustion Flood,T1499.003
Application or System Exploitation,T1499.004
Direct Network Flood,T1498.001
Reflection Amplification,T1498.002
